Time (UT),Latitude,Longitude,Course
4/29/2021 19:23,-23.5499,-46.2834,43
4/29/2021 19:23,-23.5162,-46.2631,23
4/29/2021 19:24,-23.4717,-46.2429,23
4/29/2021 19:24,-23.4304,-46.224,23
4/29/2021 19:25,-23.3865,-46.2039,23
4/29/2021 19:25,-23.3445,-46.1849,23
4/29/2021 19:26,-23.3008,-46.165,23
4/29/2021 19:26,-23.2568,-46.145,23
4/29/2021 19:27,-23.2127,-46.125,23
4/29/2021 19:27,-23.1686,-46.1051,23
4/29/2021 19:28,-23.1212,-46.0836,23
4/29/2021 19:28,-23.0918,-46.0707,21
4/29/2021 19:29,-23.0273,-46.0503,16
4/29/2021 19:29,-22.9753,-46.0343,16
4/29/2021 19:30,-22.921,-46.0177,16
4/29/2021 19:30,-22.8657,-46.0007,16
4/29/2021 19:31,-22.8105,-45.9836,16
4/29/2021 19:31,-22.7528,-45.9659,16
4/29/2021 19:32,-22.6978,-45.949,16
4/29/2021 19:32,-22.6415,-45.9318,16
4/29/2021 19:33,-22.5867,-45.915,16
4/29/2021 19:33,-22.5291,-45.8973,16
4/29/2021 19:34,-22.4695,-45.8791,16
4/29/2021 19:34,-22.4154,-45.8626,16
4/29/2021 19:35,-22.3566,-45.8446,16
4/29/2021 19:35,-22.3011,-45.8268,20
4/29/2021 19:36,-22.2673,-45.8077,33
4/29/2021 19:36,-22.2179,-45.7661,39
4/29/2021 19:37,-22.17,-45.7246,39
4/29/2021 19:37,-22.1225,-45.6836,39
4/29/2021 19:38,-22.0731,-45.6409,39
4/29/2021 19:38,-22.0257,-45.6002,39
4/29/2021 19:39,-21.9768,-45.5581,39
4/29/2021 19:39,-21.9279,-45.5159,39
4/29/2021 19:40,-21.8786,-45.4736,39
4/29/2021 19:40,-21.8301,-45.432,39
4/29/2021 19:41,-21.7823,-45.391,39
4/29/2021 19:41,-21.7298,-45.346,39
4/29/2021 19:42,-21.6827,-45.3056,39
4/29/2021 19:42,-21.6324,-45.2626,39
4/29/2021 19:43,-21.5816,-45.2192,39
4/29/2021 19:43,-21.5306,-45.1756,39
4/29/2021 19:44,-21.4813,-45.1335,39
4/29/2021 19:44,-21.4309,-45.0906,39
4/29/2021 19:45,-21.3816,-45.0486,39
4/29/2021 19:45,-21.3322,-45.0066,39
4/29/2021 19:46,-21.2823,-44.9641,39
4/29/2021 19:46,-21.2342,-44.9233,39
4/29/2021 19:47,-21.1822,-44.8792,39
4/29/2021 19:47,-21.1329,-44.8373,39
4/29/2021 19:48,-21.0827,-44.7948,39
4/29/2021 19:48,-21.0314,-44.7531,36
4/29/2021 19:49,-20.9801,-44.7139,36
4/29/2021 19:49,-20.9478,-44.6899,33
4/29/2021 19:50,-20.8823,-44.6614,17
4/29/2021 19:50,-20.8195,-44.6417,16
4/29/2021 19:51,-20.7537,-44.6212,16
4/29/2021 19:51,-20.6948,-44.6028,17
4/29/2021 19:52,-20.6333,-44.5798,21
4/29/2021 19:52,-20.5676,-44.5525,21
4/29/2021 19:53,-20.5037,-44.526,21
4/29/2021 19:53,-20.4433,-44.501,21
4/29/2021 19:54,-20.3877,-44.4794,18
4/29/2021 19:54,-20.3152,-44.4569,16
4/29/2021 19:55,-20.2526,-44.4383,16
4/29/2021 19:55,-20.1862,-44.418,19
4/29/2021 19:56,-20.1411,-44.3961,29
4/29/2021 19:56,-20.0768,-44.3558,31
4/29/2021 19:57,-20.0128,-44.3154,31
4/29/2021 19:57,-19.956,-44.2796,30
4/29/2021 19:58,-19.8799,-44.2368,28
4/29/2021 19:58,-19.8226,-44.2046,28
4/29/2021 19:59,-19.7586,-44.1689,28
4/29/2021 19:59,-19.7001,-44.1362,28
4/29/2021 20:00,-19.6364,-44.1006,28
4/29/2021 20:00,-19.5764,-44.0671,28
4/29/2021 20:01,-19.5161,-44.0334,28
4/29/2021 20:01,-19.4575,-44.0008,28
4/29/2021 20:02,-19.3955,-43.9663,28
4/29/2021 20:02,-19.3366,-43.9336,28
4/29/2021 20:03,-19.2771,-43.9005,28
4/29/2021 20:03,-19.2155,-43.8664,28
4/29/2021 20:04,-19.1555,-43.8331,28
4/29/2021 20:04,-19.0941,-43.7991,28
4/29/2021 20:05,-19.0335,-43.7655,28
4/29/2021 20:05,-18.9727,-43.7319,28
4/29/2021 20:06,-18.9133,-43.6991,28
4/29/2021 20:06,-18.854,-43.6663,28
4/29/2021 20:07,-18.7929,-43.6325,28
4/29/2021 20:07,-18.7329,-43.5994,28
4/29/2021 20:08,-18.6711,-43.5654,28
4/29/2021 20:08,-18.6083,-43.5309,28
4/29/2021 20:09,-18.5468,-43.5052,17
4/29/2021 20:09,-18.4807,-43.489,11
4/29/2021 20:10,-18.411,-43.4797,5
4/29/2021 20:11,-18.328,-43.4728,5
4/29/2021 20:11,-18.2142,-43.459,8
4/29/2021 20:12,-18.1465,-43.4496,8
4/29/2021 20:12,-18.0787,-43.4402,8
4/29/2021 20:13,-18.0115,-43.4309,8
4/29/2021 20:13,-17.9439,-43.4215,8
4/29/2021 20:14,-17.8805,-43.4127,8
4/29/2021 20:14,-17.8101,-43.403,8
4/29/2021 20:15,-17.7423,-43.3936,8
4/29/2021 20:15,-17.6758,-43.3845,7
4/29/2021 20:16,-17.606,-43.3749,8
4/29/2021 20:16,-17.536,-43.3654,8
4/29/2021 20:17,-17.4683,-43.3561,8
4/29/2021 20:17,-17.4006,-43.3467,8
4/29/2021 20:18,-17.3328,-43.3374,8
4/29/2021 20:18,-17.2656,-43.3281,8
4/29/2021 20:19,-17.1992,-43.3132,15
4/29/2021 20:19,-17.1374,-43.2918,21
4/29/2021 20:20,-17.074,-43.2614,28
4/29/2021 20:20,-17.0176,-43.2261,34
4/29/2021 20:21,-16.9603,-43.1852,35
4/29/2021 20:21,-16.9055,-43.1445,37
4/29/2021 20:22,-16.852,-43.1022,38
